Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
17547, 20769, 42326, 42494, 45498, 37867, 29145, 28654, 32541
15437, 21181, 40067, 42308, 45715, 38600, 28983, 36525, 39389
16157, 21463, 37060, 45067, 45813, 39032, 26893, 30755, 34594
15772, 19050, 34047, 44650, 44775, 37129, 28122, 31294, 35183
15227, 25488, 39217, 41011, 44969, 36614, 28112, 29634, 34803
14670, 23590, 41419, 45133, 44964, 37103, 29528, 29827, 34515
15562, 25151, 38008, 41384, 44397, 36827, 28473, 30903, 35343
15536, 27174, 36526, 40700, 43278, 36726, 26253, 35330, 34318
15510, 25219, 36548, 42382, 44091, 36168, 28551, 51125, 42970
15460, 27768, 42666, 46829, 45332, 37619, 29592, 31312, 34749
14584, 20389, 43150, 42931, 42962, 37097, 29791, 33119, 34120
17242, 24765, 41696, 44998, 45611, 37871, 30086, 33304, 37076
14556, 25542, 39128, 47374, 47238, 37385, 29695, 32456, 36158
15976, 23808, 39866, 44847, 46114, 38329, 29183, 34803, 34937
16551, 24079, 37579, 44230, 44922, 36556, 27847, 30873, 34999
33752, 30027, 42142, 46143, 46472, 37734, 30177, 34382, 37025
17587, 24371, 43789, 41410, 45451, 37177, 30119, 33269, 38475
16602, 26879, 38929, 42929, 45932, 38505, 28492, 31802, 36991
14347, 23963, 37818, 44807, 46066, 36666, 29196, 36868, 34784
16068, 25804, 35600, 44274, 45240, 38740, 29018, 31460, 36874
14683, 26179, 39402, 44867, 46791, 38008, 28149, 30614, 34401
14649, 24520, 36815, 44876, 45723, 37978, 28157, 32112, 36402
14878, 26141, 38593, 46048, 46126, 37960, 29300, 33969, 37043
15796, 27000, 38330, 44540, 47046, 38695, 30801, 36495, 36741
14732, 24340, 39024, 44236, 46515, 64474, 32429, 34666, 40380
33137, 27741, 47332, 46540, 48607, 40932, 29018, 37839, 37138
15460, 20683, 41865, 42589, 46442, 40114, 29977, 38771, 37504
15169, 27076, 39299, 46154, 47822, 37965, 30749, 33578, 39145
15601, 26093, 38023, 45562, 46442, 36557, 27564, 35216, 36581
15783, 25494, 43355, 44742, 45265, 38931, 27102, 32524, 38853
14184, 25419, 36482, 43439, 46237, 37520, 28632, 34162, 35525
15379, 26285, 38447, 43179, 45724, 37130, 29264, 35900, 35414
15110, 25210, 39652, 44870, 47599, 36421, 28542, 32239, 34407
15345, 24755, 36570, 43624, 45875, 36728, 27300, 32602, 37902
15102, 26905, 39242, 45245, 45860, 37698, 27623, 36274, 35036
15795, 26666, 38976, 44214, 46234, 38102, 27729, 31190, 34525
13494, 24090, 37063, 43814, 46471, 36076, 35638, 30577, 35331
14322, 26012, 40636, 45515, 45624, 36495, 39044, 33447, 37050
15362, 26262, 38197, 43592, 47659, 38400, 28431, 31503, 34726
15369, 23626, 37299, 42874, 47566, 36955, 28780, 30652, 37145
16004, 24893, 40610, 42308, 45342, 36945, 28481, 35742, 37849
16799, 23182, 36787, 44657, 46144, 35990, 29883, 31937, 37237
